model,bit,gbs,ppl_test
meta-llama/Llama-2-7b-hf,4,True,6.04
mistralai/Mistral-7B-Instruct-v0.3,4,True,5.81
mistralai/Mistral-7B-v0.1,4,True,5.61
meta-llama/Llama-2-7b-hf,4,True,6.0450615882873535
meta-llama/Llama-2-7b-hf,4,False,6.23185920715332
meta-llama/Llama-2-7b-hf,3,True,10.96693229675293
meta-llama/Llama-2-7b-hf,3,False,26.642589569091797
meta-llama/Meta-Llama-3-8B,4,True,7.561770915985107
meta-llama/Meta-Llama-3-8B,4,False,7.948547840118408
meta-llama/Meta-Llama-3-8B,3,True,22.141502380371094
meta-llama/Meta-Llama-3-8B,3,False,140.78240966796875
mistralai/Mistral-7B-Instruct-v0.3,4,True,5.819852828979492
mistralai/Mistral-7B-Instruct-v0.3,4,False,5.940568923950195
mistralai/Mistral-7B-Instruct-v0.3,3,False,11.265023231506348
mistralai/Mistral-7B-v0.1,4,True,5.617331504821777
mistralai/Mistral-7B-v0.1,4,False,5.753418922424316
mistralai/Mistral-7B-v0.1,3,False,13.635231971740723
mistralai/Mistral-7B-Instruct-v0.3,3,True,7.580717086791992
mistralai/Mistral-7B-v0.1,3,True,7.636724472045898
