model,bit,gbs,piqa,hellaswag,arc_easy,arc_challenge,winogrande,lambada,lambada_openai, lambada_standard,AVG
meta-llama/Llama-2-7b-hf,4,True,0.6567,0.7775,0.6641,0.6963,0.6319,0.7274,0.6894,0.4275,0.6589
meta-llama/Llama-2-7b-hf,4,False,0.6504,0.7666,0.6575,0.6947,0.6202,0.7261,0.6785,0.4138,0.651
meta-llama/Llama-2-7b-hf,3,True,0.5612,0.6681,0.3443,0.404,0.2845,0.5501,0.5278,0.3072,0.4559
meta-llama/Llama-2-7b-hf,3,False,0.4996,0.5881,0.1319,0.1481,0.1157,0.3914,0.3977,0.2423,0.3143
meta-llama/Meta-Llama-3-8B,4,True,0.7253,0.7682,0.6635,0.6953,0.6317,0.75,0.7193,0.4684,0.6777
meta-llama/Meta-Llama-3-8B,4,False,0.6811,0.7601,0.6492,0.685,0.6134,0.7417,0.6907,0.4445,0.6582
meta-llama/Meta-Llama-3-8B,3,True,0.5485,0.6192,0.2553,0.2958,0.2148,0.4867,0.487,0.2952,0.4003
meta-llama/Meta-Llama-3-8B,3,False,0.5241,0.5462,0.0282,0.0338,0.0227,0.3185,0.3152,0.2321,0.2526
mistralai/Mistral-7B-Instruct-v0.3,4,True,0.7135,0.8123,0.693,0.7318,0.6542,0.8013,0.798,0.5614,0.7207
mistralai/Mistral-7B-Instruct-v0.3,4,False,0.6811,0.7943,0.685,0.7242,0.6458,0.803,0.7891,0.5486,0.7089
mistralai/Mistral-7B-Instruct-v0.3,3,False,0.5328,0.6757,0.356,0.4033,0.3088,0.5757,0.5459,0.3208,0.4649
mistralai/Mistral-7B-v0.1,4,True,0.7088,0.809,0.7093,0.75,0.6685,0.7885,0.7854,0.5085,0.716
mistralai/Mistral-7B-v0.1,4,False,0.7103,0.7894,0.6983,0.7403,0.6563,0.7828,0.7744,0.4906,0.7053
mistralai/Mistral-7B-v0.1,3,False,0.5501,0.6545,0.2789,0.3252,0.2325,0.5063,0.4638,0.2807,0.4115
mistralai/Mistral-7B-Instruct-v0.3,3,True,0.6322,0.7535,0.5932,0.6519,0.5346,0.7173,0.7104,0.4462,0.6299
mistralai/Mistral-7B-v0.1,3,True,0.6283,0.7372,0.5699,0.6433,0.4964,0.6812,0.6785,0.3908,0.6032
