model,bit,expand,grid_search,bitops,mem,ppl
mistralai/Mistral-7B-v0.1,16,0,False,2.5933978454213e+19,113766301696.0,5.25
mistralai/Mistral-7B-Instruct-v0.3,16,0,False,2.5940733853654057e+19,113816633344.0,5.49
meta-llama/Llama-2-7b-hf,16,0,False,1.999373054571132e+19,105713238016.0,5.47
meta-llama/Meta-Llama-3-8B,16,0,False,2.678065518415865e+19,120074534912.0,6.13
meta-llama/Llama-2-13b-hf,16,0,False,4.8138554204498166e+19,205625753600.0,4.88
mistralai/Mistral-7B-v0.1,4,0,False,1.9928428351114445e+18,30014439424.0,5.82
mistralai/Mistral-7B-Instruct-v0.3,4,0,False,1.9995982345525e+18,30064771072.0,5.98
meta-llama/Llama-2-7b-hf,4,0,False,1.6215773408300892e+18,28001173504.0,6.21
meta-llama/Meta-Llama-3-8B,4,0,False,2.8395195650570977e+18,36322672640.0,8.33
meta-llama/Llama-2-13b-hf,4,0,False,3.55608448701825e+18,53372518400.0,5.47
mistralai/Mistral-7B-v0.1,4,0,True,1.9928428351114445e+18,30014439424.0,5.57
mistralai/Mistral-7B-Instruct-v0.3,4,0,True,1.9995982345525e+18,30064771072.0,-1.0
meta-llama/Llama-2-7b-hf,4,0,True,1.6215773408300892e+18,28001173504.0,6.04
meta-llama/Meta-Llama-3-8B,4,0,True,2.8395195650570977e+18,36322672640.0,7.4
meta-llama/Llama-2-13b-hf,4,0,True,3.55608448701825e+18,53372518400.0,5.28
mistralai/Mistral-7B-v0.1,3,0,False,1.2711409948253225e+18,23035117568.0,100.85
mistralai/Mistral-7B-Instruct-v0.3,3,0,False,1.2778963942663782e+18,23085449216.0,38.28
meta-llama/Llama-2-7b-hf,3,0,False,1.0623041542920602e+18,21525168128.0,332.56
meta-llama/Meta-Llama-3-8B,3,0,False,2.117817724770976e+18,29343350784.0,1315.0
meta-llama/Llama-2-13b-hf,3,0,False,2.2264890560138445e+18,40684748800.0,15849.4
mistralai/Mistral-7B-v0.1,3,0,True,1.2711409948253225e+18,23035117568.0,7.31
mistralai/Mistral-7B-Instruct-v0.3,3,0,True,1.2778963942663782e+18,23085449216.0,7.04
meta-llama/Llama-2-7b-hf,3,0,True,1.0623041542920602e+18,21525168128.0,-1.0
meta-llama/Meta-Llama-3-8B,3,0,True,2.117817724770976e+18,29343350784.0,12.62
meta-llama/Llama-2-13b-hf,3,0,True,2.2264890560138445e+18,40684748800.0,-1.0
meta-llama/Llama-2-7b-hf,3,4,False,1.064054189719552e+18,21546188800.0,204.0
meta-llama/Llama-2-7b-hf,3,472,False,1.2784069262914355e+18,24005607424.0,217.51
meta-llama/Llama-2-7b-hf,3,1004,False,1.545189847990272e+18,26801356800.0,117.0
meta-llama/Llama-2-7b-hf,3,1528,False,1.8320054474191667e+18,29555064832.0,75.6
meta-llama/Llama-2-7b-hf,3,2036,False,2.1328438090530816e+18,32224690176.0,64.15
meta-llama/Llama-2-7b-hf,3,3008,False,2.770973398841426e+18,37332713472.0,80.29
meta-llama/Llama-2-7b-hf,3,3508,False,3.131210760894546e+18,39960297472.0,41.3
meta-llama/Llama-2-7b-hf,3,4084,False,3.5731353219629056e+18,42987274240.0,37.0
meta-llama/Llama-2-7b-hf,3,4096,False,3.5826486879453184e+18,43050336256.0,160.0
