model,bit,expand,grid_search,bitops,mem,ppl
mistralai/Mistral-7B-v0.1,16,0,False,2.5933978454213e+19,113766301696.0,5.25
mistralai/Mistral-7B-Instruct-v0.3,16,0,False,2.5940733853654057e+19,113816633344.0,5.49
meta-llama/Llama-2-7b-hf,16,0,False,1.9993730545711317e+19,105713238016.0,5.47
meta-llama/Meta-Llama-3-8B,16,0,False,2.6780655184158654e+19,120074534912.0,6.13
meta-llama/Llama-2-13b-hf,16,0,False,,,4.88
mistralai/Mistral-7B-v0.1,4,0,False,,,5.82
mistralai/Mistral-7B-Instruct-v0.3,4,0,False,,,5.98
meta-llama/Llama-2-7b-hf,4,0,False,,,6.21
meta-llama/Meta-Llama-3-8B,4,0,False,,,8.33
meta-llama/Llama-2-13b-hf,4,0,False,,,5.47
mistralai/Mistral-7B-v0.1,4,0,True,,,5.57
mistralai/Mistral-7B-Instruct-v0.3,4,0,True,,,-1.0
meta-llama/Llama-2-7b-hf,4,0,True,,,6.04
meta-llama/Meta-Llama-3-8B,4,0,True,,,7.4
meta-llama/Llama-2-13b-hf,4,0,True,,,5.28
mistralai/Mistral-7B-v0.1,3,0,False,,,100.85
mistralai/Mistral-7B-Instruct-v0.3,3,0,False,,,38.28
meta-llama/Llama-2-7b-hf,3,0,False,,,332.56
meta-llama/Meta-Llama-3-8B,3,0,False,,,1315.0
meta-llama/Llama-2-13b-hf,3,0,False,,,15849.4
mistralai/Mistral-7B-v0.1,3,0,True,,,7.31
mistralai/Mistral-7B-Instruct-v0.3,3,0,True,,,7.04
meta-llama/Llama-2-7b-hf,3,0,True,,,-1.0
meta-llama/Meta-Llama-3-8B,3,0,True,,,12.62
meta-llama/Llama-2-13b-hf,3,0,True,,,-1.0
