model, bit, alpha, max_iter, time(h), ppl
llama2-7b, 4, 0.05, 5, 10.89, 6.11
llama2-7b, 3, 0.05, 5, 10.91 , 10.59 
llama2-7b, 4, 0.1, 5, 21.02, 6.08
llama2-7b, 3, 0.1, 5, 21.15, 10.39
llama2-7b, 4, 0.1, 3, 14.07, 6.37
llama3-8b, 4, 0.05, 5, 10.09, 7.56
llama3-8b, 4, 0.1, 5, 19.5, 7.53  
llama3-8b, 3, 0.05, 5,10.02, 15.72
llama3-8b, 3, 0.1, 5, 19.44, 15.65    
llama2-7b, 4, 0.1, 4, 17.42, 6.09      
llama2-7b, 4, 0.1, 6, 24.66, 6.08     
llama2-7b, 4, 0.1, 7, 28.6, 6.08   
llama2-7b, 4, 0.1, 8, 31.9, 6.07

//En cours



llama2-7b, 3, 0.1, 8, 32, 10.42,         GPU-3(train3)
llama2-7b, 3, 0.1, 7,,,         GPU-(train1)
llama2-7b, 3, 0.1, 6,,,         GPU-(train2)
