model,bit,grid_search,expand,piqa,hellaswag,arc_easy,arc_challenge,winogrande,lambada, lambada_openai, lambada_standard,AVG
mistralai/Mistral-7B-Instruct-v0.3,16,False,0,0.7127,0.746,0.6794,0.7427,0.5896,0.8266,0.8292,0.8264,0.7441
meta-llama/Llama-2-7b-hf,16,False,0,0.7108,0.739,0.6825,0.6898,0.4633,0.7458,0.7597,0.7911,0.6978
meta-llama/Meta-Llama-3-8B,16,False,0,0.7262,0.7601,0.6922,0.7293,0.5341,0.7769,0.7915,0.8085,0.7273
mistralai/Mistral-7B-v0.1,16,False,0,0.7249,0.7559,0.694,0.7395,0.5486,0.8018,0.81,0.8188,0.7367
mistralai/Mistral-7B-v0.1,4,False,0,0.6762,0.7188,0.6336,0.7001,0.4898,0.766,0.776,0.7998,0.695
mistralai/Mistral-7B-Instruct-v0.3,4,False,0,0.677,0.7145,0.6394,0.6953,0.552,0.7946,0.8045,0.7873,0.7081
meta-llama/Llama-2-7b-hf,4,False,0,0.6465,0.6909,0.6022,0.6464,0.4317,0.6978,0.722,0.7671,0.6506
meta-llama/Meta-Llama-3-8B,4,False,0,0.6166,0.6627,0.5705,0.6472,0.4206,0.6806,0.7166,0.747,0.6327
mistralai/Mistral-7B-v0.1,3,False,0,0.0307,0.0413,0.02,0.4862,0.2218,0.306,0.2944,0.5375,0.2422
mistralai/Mistral-7B-Instruct-v0.3,3,False,0,0.0766,0.0949,0.0582,0.5146,0.2355,0.3439,0.319,0.5441,0.2733
meta-llama/Llama-2-7b-hf,3,False,0,0.0025,0.0047,0.0004,0.5114,0.2611,0.3039,0.2826,0.5054,0.234
meta-llama/Meta-Llama-3-8B,3,False,0,0.0005,0.0008,0.0002,0.4941,0.2372,0.2778,0.2666,0.5071,0.223
mistralai/Mistral-7B-v0.1,4,True,0,0.7147,0.7495,0.68,0.7222,0.5154,0.7921,0.7899,0.8063,0.7213
meta-llama/Llama-2-7b-hf,4,True,0,0.6564,0.6988,0.614,0.6646,0.4232,0.7075,0.7294,0.7633,0.6572
mistralai/Mistral-7B-Instruct-v0.3,4,True,0,0.7055,0.7444,0.6666,0.7182,0.5666,0.8077,0.8109,0.8096,0.7287
meta-llama/Meta-Llama-3-8B,4,True,0,0.6787,0.7202,0.6373,0.7103,0.459,0.737,0.751,0.7753,0.6836
mistralai/Mistral-7B-v0.1,3,True,0,0.5922,0.6441,0.5403,0.633,0.4053,0.6839,0.711,0.7514,0.6202
mistralai/Mistral-7B-Instruct-v0.3,3,True,0,0.6217,0.6693,0.574,0.6156,0.4642,0.7344,0.7351,0.7748,0.6486
meta-llama/Llama-2-7b-hf,3,True,0,0.3903,0.4991,0.2814,0.5612,0.3191,0.5492,0.5826,0.6872,0.4838
meta-llama/Meta-Llama-3-8B,3,True,0,0.4492,0.5032,0.3951,0.6022,0.3285,0.537,0.5881,0.6638,0.5084
mistralai/Mistral-7B-Instruct-v0.3,3,True,472,0.6337,0.6879,0.5795,0.6559,0.471,0.7504,0.7476,0.7737,0.6625
mistralai/Mistral-7B-Instruct-v0.3,3,True,1348,0.6596,0.7056,0.6136,0.6732,0.4957,0.7487,0.7625,0.7769,0.6795
mistralai/Mistral-7B-Instruct-v0.3,3,True,2036,0.6766,0.7182,0.635,0.6819,0.4991,0.75,0.7691,0.7878,0.6897
mistralai/Mistral-7B-Instruct-v0.3,3,True,3008,0.6768,0.7227,0.6309,0.6859,0.5162,0.7786,0.7761,0.7845,0.6965
mistralai/Mistral-7B-Instruct-v0.3,3,True,3508,0.6895,0.7324,0.6466,0.6867,0.5043,0.7731,0.7778,0.7922,0.7003
mistralai/Mistral-7B-v0.1,3,True,472,0.6022,0.6645,0.5399,0.6519,0.4104,0.7117,0.7188,0.7497,0.6311
