model,bit,gbs,ppl_test
meta-llama/Meta-Llama-3-8B,4,True,7.69
meta-llama/Meta-Llama-3-8B,3,True,20.26
meta-llama/Llama-2-7b-hf,4,True,6.15
meta-llama/Llama-2-7b-hf,3,True,15.65
mistralai/Mistral-7B-Instruct-v0.3,3,True,8.11
mistralai/Mistral-7B-Instruct-v0.3,4,True,5.83
mistralai/Mistral-7B-v0.1,3,True,7.98
mistralai/Mistral-7B-v0.1,4,True,5.62
meta-llama/Llama-2-7b-hf,4,False,6.567461967468262
meta-llama/Llama-2-7b-hf,3,False,425.1812438964844
meta-llama/Meta-Llama-3-8B,4,False,7.97675895690918
meta-llama/Meta-Llama-3-8B,3,False,316.5952453613281
mistralai/Mistral-7B-Instruct-v0.3,4,False,5.884921550750732
mistralai/Mistral-7B-Instruct-v0.3,3,False,14.312841415405273
mistralai/Mistral-7B-v0.1,4,False,5.705789566040039
mistralai/Mistral-7B-v0.1,3,False,18.88510513305664
