model,bit,grid_search,piqa,hellaswag,arc_easy,arc_challenge,winogrande,lambada, lambada_openai, lambada_standard,AVG
meta-llama/Llama-2-7b-hf,4,True,0.6324,0.6901,0.5746,0.6504,0.4104,0.6843,0.7163,0.7617,0.64
meta-llama/Llama-2-7b-hf,4,False,0.6173,0.6846,0.55,0.6346,0.4061,0.6763,0.7035,0.7601,0.6291
meta-llama/Llama-2-7b-hf,3,True,0.2077,0.2651,0.1504,0.5067,0.2619,0.4293,0.4521,0.6186,0.3615
meta-llama/Llama-2-7b-hf,3,False,0.0024,0.0045,0.0004,0.5146,0.2833,0.2757,0.2682,0.537,0.2358
mistralai/Mistral-7B-Instruct-v0.3,4,True,0.6901,0.7266,0.6536,0.7214,0.5691,0.795,0.8049,0.8118,0.7216
mistralai/Mistral-7B-Instruct-v0.3,4,False,0.69,0.7266,0.6534,0.6993,0.5512,0.7841,0.8039,0.8118,0.715
mistralai/Mistral-7B-Instruct-v0.3,3,True,0.5293,0.5899,0.4687,0.6006,0.4078,0.6667,0.6618,0.7405,0.5832
mistralai/Mistral-7B-Instruct-v0.3,3,False,0.2039,0.2839,0.1238,0.4972,0.2457,0.4057,0.3817,0.6066,0.3436
meta-llama/Meta-Llama-3-8B,4,True,0.6384,0.6784,0.5983,0.704,0.4735,0.7336,0.7482,0.7682,0.6678
meta-llama/Meta-Llama-3-8B,4,False,0.6511,0.6901,0.6121,0.6661,0.4522,0.7252,0.7418,0.7606,0.6624
meta-llama/Meta-Llama-3-8B,3,True,0.2142,0.2395,0.189,0.5438,0.2696,0.431,0.4782,0.6055,0.3714
meta-llama/Meta-Llama-3-8B,3,False,0.0271,0.031,0.0231,0.5051,0.2235,0.29,0.2886,0.5174,0.2382
mistralai/Mistral-7B-v0.1,4,True,0.7002,0.7337,0.6666,0.7119,0.4829,0.7647,0.79,0.8128,0.7078
mistralai/Mistral-7B-v0.1,4,False,0.6955,0.7345,0.6565,0.6938,0.4898,0.7698,0.7813,0.8036,0.7031
mistralai/Mistral-7B-v0.1,3,True,0.5281,0.6059,0.4504,0.5927,0.3567,0.6368,0.6553,0.7345,0.5701
mistralai/Mistral-7B-v0.1,3,False,0.1658,0.2197,0.112,0.513,0.2423,0.3767,0.3487,0.6055,0.323
